id,user_id,title,postion,description,time_start,time_end
1,9,DIGI ME SCSE,PM - Fullstack,"Tôi giúp team backend củng cố lại code và hỗ trợ những chức năng mà team không có hướng đi, code lại những chức năng mà team backend chưa chắc chắn và team front-end. Tôi đã giúp team làm các giao diện cơ bản và hướng dẫn team frontend làm việc với API.",9/1/2021,9/4/2021
2,5,CHAMCONGVN,Full Stack,"Tôi và các đồng nghiệp đã làm việc cùng nhau trong một dự án trong đợt bùng phát Covid. Nhóm của tôi đã hoàn thành WebClient trong vòng chưa đầy một tháng (. Với những khả năng đã có trong reactjs nên chúng tôi sẽ phân tích và tìm hiểu mobile client trong vòng ba ngày, hiện tại mobile client vẫn chưa hoàn thành. Chúng tôi đã phát triển một giải pháp chuyên về quản lý nguồn nhân lực cho các công ty, trong đó một mô-đun nhận dạng khuôn mặt được tích hợp để theo dõi sự tham gia của nhân viên.",1/7/2021, 1/8/2021
3,39,Lập trình giao diện và thiết kế trò chơi T - rex,Đồ án môn học,"Tạo một trò chơi khủng long đang chạy. Có các chức năng cơ bản như đặt tên nhân vật, chọn nhân vật, xem hướng dẫn, chơi game, khủng long nhảy qua chướng ngại vật và ăn thịt để lấy điểm. Công việc: Code chức năng nhảy của khủng long và bắt đầu đếm, hỗ trợ Code các chức năng nhỏ trong game.",1/2/2021, 1/4/2021
4,19,Hệ thống quản lý rạp chiếu phim,Đồ án môn học,"Phân tích thiết kế hệ thống quản lý rạp chiếu phim, mô tả chức năng cần thiết của hệ thống, phân tích luồng dữ liệu của các chức năng và vẽ sơ đồ ERD, DFD của các chức năng. Công việc: Mô tả nghiệp vụ, mô tả chức năng, thiết kế sơ đồ FHD, DFD, ERD, hỗ trợ nhóm trưởng và các thành viên.",1/10/2021,1/12/2021
5,49,AMIT GROUP,Thực Tập Sinh,"Công việc chính: Viết danh sách các câu hỏi và báo giá dự án cho khách hàng. Thực hiện phân tích, mô tả và thiết kế sơ đồ hệ thống. Tìm hiểu về phân tích và thiết kế hệ thống. Hỗ trợ rà soát và cải tiến hệ thống.",9/1/2022,12/1/2022
6,6,CGV Cinema,Leader Staff,"Công việc chính: Giới thiệu, tư vấn sản phẩm và giải đáp các thắc mắc của khách hàng. Bán hàng cho người nước ngoài và người Việt Nam tại Rạp chiếu phim. Quảng cáo sản phẩm trên các ấn phẩm truyền thông như: banner, poster, flyer. Thực hiện kiểm kho, cập nhật các chương trình khuyến mãi mới, đưa các combo phim mới lên hệ thống. Thực hiện các báo cáo về doanh số bán hàng mỗi ngày.",12/1/2021,8/1/2022
7,24,Citynow Technology Solutions,FRONTEND DEVELOPER,"Phân tích các yêu cầu từ khách hàng; Xử lý chức năng theo yêu cầu; Công nghệ được sử dụng: NextJS, Typescript, Redux, SCSS, Axios, Nguồn thiết lập Hrsol-kit: React, Typescript, Rollup, Storybook; Giao tiếp với backend để xử lý api: Axios; Máy định dạng Linters: ESLint, Prettier; Gói mô-đun: Webpack, Esbuild, Craco; Kiểm tra E2E: Cypress - Phong cách BDD",8/1/2021,11/1/2022
8,31,VNG Corporation,SOFTWARE DEVELOPER INTERNSHIP,"Mã giao diện website giới thiệu Team; Mã giao diện Code-Tour 2021; Tìm hiểu về Docker và NodeJS; Công nghệ sử dụng: ReactJS, NodeJS, Ant Design, Material UI",3/1/2021,6/1/2021
9,37,LBM Investment Joint Stock Company,PHP PROGRAMMER INTERN,"Thiết kế website đóng vai trò quản lý các phòng ban trong công ty LBM, quản lý hoạt động kinh doanh, quản lý hiệu quả kinh doanh giữa các phòng ban. Mã hóa giao diện, điều chỉnh độ nhạy, điều chỉnh UI/UX cho phù hợp với chức năng. Lấy dữ liệu từ API, xây dựng chức năng đăng nhập, chức năng tìm kiếm, phân trang. Vẽ biểu đồ với ChartJS để hiển thị hiệu quả kinh doanh. Công nghệ sử dụng: PHP, HTML, CSS, Javascript, Jquery, ChartJS, Bootstrap",8/1/2020,3/1/2021
10,37,Web Scrapping x Cosine Similarity,Đồ án môn học,"Tìm kiếm dữ liệu văn bản trên web (trên Google), loại bỏ, tìm các câu / đoạn / từ tương tự với đầu vào của bạn dựa trên điểm tương tự Cosin.
",4/4/2021,20/4/2021
